"filename", "language", "XML", "ASP.NET Razor", "C#", "JSON", "CSS", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\AdminPanelPageModel.cs", "C#", 0, 0, 60, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\Index.cshtml", "ASP.NET Razor", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 95
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\Index.cshtml.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\OrdersInProgress.cshtml", "ASP.NET Razor", 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\OrdersInProgress.cshtml.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\RealisedOrders.cshtml", "ASP.NET Razor", 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\AdminPanel\RealisedOrders.cshtml.cs", "C#", 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Basket.cshtml", "ASP.NET Razor", 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Basket.cshtml.cs", "C#", 0, 0, 82, 0, 0, 0, 0, 0, 0, 12, 94
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\ChangePassword.cshtml", "ASP.NET Razor", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
